,Overall rank,Score,Country,GDP (Billions),Social Score,Basic Human Needs,Foundation of Wellbeing,Opportunity,Life Expectancy,language,population,lat,lng,independent,landlocked,cca3,GDP per Capita,Region
97,113,4.639,Namibia,12.213,67.14,67.29,70.92,63.21,64.492,"{'afr': 'Afrikaans', 'deu': 'German', 'eng': 'English', 'her': 'Herero', 'hgm': 'Khoekhoe', 'kwn': 'Kwangali', 'loz': 'Lozi', 'ndo': 'Ndonga', 'tsn': 'Tswana'}",2540916,-22.0,17.0,True,False,NAM,4.806534336436151e-06,Sub-Saharan Africa
98,114,4.628,Niger,15.637,42.21,42.2,42.81,41.63,63.256,{'fra': 'French'},24206636,16.0,8.0,True,True,NER,6.459798874986182e-07,Sub-Saharan Africa
99,115,4.587,Burkina Faso,19.932,49.87,47.93,54.74,46.95,62.568,{'fra': 'French'},20903278,13.0,-2.0,True,True,BFA,9.535346561434048e-07,Sub-Saharan Africa
100,116,4.559,Armenia,13.612,76.46,87.91,78.22,63.24,75.414,{'hye': 'Armenian'},2963234,40.0,45.0,True,True,ARM,4.5936297977142545e-06,Central and Eastern Europe
101,118,4.534,Guinea,16.724,43.41,44.61,52.88,32.76,62.32,{'fra': 'French'},13132792,11.0,-10.0,True,False,GIN,1.273453504784055e-06,Sub-Saharan Africa
102,119,4.519,Georgia,17.846,74.85,83.79,77.14,63.64,74.096,{'kat': 'Georgian'},3714000,42.0,43.5,True,False,GEO,4.8050619278406036e-06,Central and Eastern Europe
103,121,4.509,Kenya,109.491,57.1,55.97,64.6,50.74,67.212,"{'eng': 'English', 'swa': 'Swahili'}",53771300,1.0,38.0,True,False,KEN,2.0362349431760066e-06,Sub-Saharan Africa
104,122,4.49,Mauritania,9.164,48.95,56.63,52.69,37.52,65.378,{'ara': 'Arabic'},4649660,20.0,-12.0,True,False,MRT,1.9708967967550315e-06,Sub-Saharan Africa
105,123,4.466,Mozambique,15.833,49.0,46.93,56.22,43.85,61.714,{'por': 'Portuguese'},31255435,-18.25,35.0,True,False,MOZ,5.0656789771123e-07,Sub-Saharan Africa
106,124,4.461,Tunisia,42.733,75.02,85.56,71.29,68.19,77.17,{'ara': 'Arabic'},11818618,34.0,9.0,True,False,TUN,3.615735782305511e-06,Middle East and Northern Africa
107,125,4.456,Bangladesh,355.689,55.23,64.18,59.75,41.76,73.286,{'ben': 'Bengali'},164689383,24.0,90.0,True,False,BGD,2.15975670999994e-06,Southern Asia
108,126,4.437,Iraq,201.472,63.52,78.06,63.19,49.31,70.938,"{'ara': 'Arabic', 'arc': 'Aramaic', 'ckb': 'Sorani'}",40222503,33.0,44.0,True,False,IRQ,5.0089374099866435e-06,Middle East and Northern Africa
109,128,4.39,Mali,19.563,48.29,51.99,51.69,41.19,60.174,{'fra': 'French'},20250834,17.0,-4.0,True,True,MLI,9.66034287773037e-07,Sub-Saharan Africa
110,129,4.374,Sierra Leone,4.407,51.74,47.0,58.15,50.07,55.55,{'eng': 'English'},7976985,8.5,-11.5,True,False,SLE,5.524643709371398e-07,Sub-Saharan Africa
111,130,4.366,Sri Lanka,80.785,73.2,81.89,80.33,57.39,77.392,"{'sin': 'Sinhala', 'tam': 'Tamil'}",21919000,7.0,81.0,True,False,LKA,3.68561521967243e-06,Southern Asia
112,131,4.36,Myanmar,66.74,55.99,64.61,59.27,44.1,67.576,{'mya': 'Burmese'},54409794,22.0,98.0,True,False,MMR,1.2266173990660577e-06,Southeastern Asia
113,132,4.35,Chad,12.345,31.29,30.87,37.89,25.1,54.896,"{'ara': 'Arabic', 'fra': 'French'}",16425859,15.0,19.0,True,True,TCD,7.515588682454903e-07,Sub-Saharan Africa
114,133,4.332,Ukraine,181.038,73.38,83.36,71.97,64.79,72.364,{'ukr': 'Ukrainian'},44134693,49.0,32.0,True,False,UKR,4.101943113096992e-06,Central and Eastern Europe
115,134,4.286,Ethiopia,92.757,48.59,51.65,53.38,40.74,67.442,{'amh': 'Amharic'},114963583,8.0,38.0,True,True,ETH,8.068381097690736e-07,Sub-Saharan Africa
116,136,4.189,Uganda,43.243,52.98,53.67,59.2,46.08,64.056,"{'eng': 'English', 'swa': 'Swahili'}",45741000,1.0,32.0,True,True,UGA,9.453881637917842e-07,Sub-Saharan Africa
